id,nombre,ciudad,id_cliente,monto,fecha,total_gastado
1,Cliente_1,Los Mochis,1,1812,2025-08-01 21:02:17.246286,24686
1,Cliente_1,Los Mochis,1,537,2025-12-10 21:02:17.247734,24686
1,Cliente_1,Los Mochis,1,3723,2026-02-04 21:02:17.248491,24686
1,Cliente_1,Los Mochis,1,3261,2025-08-30 21:02:17.248924,24686
1,Cliente_1,Los Mochis,1,2623,2026-03-08 21:02:17.251013,24686
1,Cliente_1,Los Mochis,1,3388,2025-06-17 21:02:17.251257,24686
1,Cliente_1,Los Mochis,1,4981,2025-12-14 21:02:17.253593,24686
1,Cliente_1,Los Mochis,1,4361,2025-04-12 21:02:17.255007,24686
2,Cliente_2,Mazatlan,2,1599,2025-12-23 21:02:17.247933,12201
2,Cliente_2,Mazatlan,2,4824,2025-07-03 21:02:17.252232,12201
2,Cliente_2,Mazatlan,2,1384,2025-04-01 21:02:17.253849,12201
2,Cliente_2,Mazatlan,2,2097,2026-01-16 21:02:17.256135,12201
2,Cliente_2,Mazatlan,2,2297,2026-02-25 21:02:17.256342,12201
3,Cliente_3,Los Mochis,3,144,2025-04-26 21:02:17.245439,20672
3,Cliente_3,Los Mochis,3,4854,2025-07-30 21:02:17.245987,20672
3,Cliente_3,Los Mochis,3,1407,2025-08-17 21:02:17.246334,20672
3,Cliente_3,Los Mochis,3,2133,2025-10-19 21:02:17.249420,20672
3,Cliente_3,Los Mochis,3,3039,2025-12-29 21:02:17.250028,20672
3,Cliente_3,Los Mochis,3,4007,2025-12-15 21:02:17.254634,20672
3,Cliente_3,Los Mochis,3,346,2026-02-25 21:02:17.255369,20672
3,Cliente_3,Los Mochis,3,884,2025-07-18 21:02:17.255675,20672
3,Cliente_3,Los Mochis,3,3633,2026-03-04 21:02:17.256436,20672
3,Cliente_3,Los Mochis,3,225,2025-06-19 21:02:17.256642,20672
4,Cliente_4,Los Mochis,4,1419,2025-12-26 21:02:17.245341,27429
4,Cliente_4,Los Mochis,4,3259,2026-01-27 21:02:17.247072,27429
4,Cliente_4,Los Mochis,4,4484,2025-05-27 21:02:17.247716,27429
4,Cliente_4,Los Mochis,4,4926,2025-04-09 21:02:17.250459,27429
4,Cliente_4,Los Mochis,4,1586,2025-07-12 21:02:17.253511,27429
4,Cliente_4,Los Mochis,4,2338,2025-09-01 21:02:17.254868,27429
4,Cliente_4,Los Mochis,4,111,2025-10-13 21:02:17.255530,27429
4,Cliente_4,Los Mochis,4,4589,2026-01-20 21:02:17.256409,27429
4,Cliente_4,Los Mochis,4,4717,2025-03-27 21:02:17.256502,27429
